t,x,y,z
1,391.55,567.79,92.946
1,391.42,574.35,92.729
1,392.44,501.92,92.727
1,392.76,591.32,93.305
1,391.91,673.55,92.201
1,392.98,618.46,91.766
1,394.6,664.21,91.876
1,399.7,666.54,93.761
1,401.28,620.04,92.015
1,407.49,129.98,93.646
1,409.85,562.16,92.737
1,417.21,541.72,91.905
1,436.78,544.25,92.482
1,393.46,592.97,93.632
1,399.29,528.38,92.921
1,405.06,192.51,91.436
1,407.13,23.319,92.015
1,407.28,70.854,92.597
1,445.52,488.03,92.687
1,460.02,352.45,92.885
1,467.74,404.08,94.052
1,629.21,193.05,93.431
1,394.61,439.16,94.494
1,395.69,417.77,93.37
1,394.92,510.2,93.898
1,408.28,103.8,94.467
1,407.63,127.51,94.261
1,412.82,117.94,94.322
1,434.4,505.27,95.828
1,446.28,278.26,96.302
1,464.15,396.48,94.704
1,478.8,429.41,93.227
1,523.2,193.45,96.706
1,527.55,204.62,95.455
1,534.88,262.31,96.488
1,548.15,216.02,96.707
1,400.55,206.07,92.726
1,406.11,253.93,95.277
1,406.78,554.77,95.494
1,407.71,175.79,93.429
1,410.1,186.78,94.026
1,425.46,36.4,96.059
1,425.45,196.84,94.86
1,463.46,450.08,95.114
1,520.35,235.21,95.998
1,524.32,241.53,96.671
1,656.33,111.23,96.198
1,398.42,421.56,95.584
1,401.12,364.29,96.016
1,406.85,293.26,96.706
1,411.4,141.54,95.332
1,419.99,158.86,95.157
1,453.87,324.57,95.838
1,405.0,379.89,96.588
1,410.43,278.56,94.999
1,416.45,63.226,96.366
1,423.3,318.88,95.576
1,441.02,245.15,95.508
1,461.12,361.99,96.953
1,620.92,195.71,97.376
1,660.05,225.66,99.173
1,672.81,223.65,100.11
1,401.16,371.51,97.101
1,401.92,483.01,97.97
1,402.91,444.44,99.203
1,402.17,660.53,96.823
1,407.07,172.2,96.534
1,414.58,247.4,98.161
1,415.98,20.483,98.122
1,431.1,370.81,96.707
1,452.51,308.76,99.028
1,484.65,449.76,97.927
1,511.94,197.67,100.72
1,515.74,222.32,99.851
1,652.6,98.446,99.73
1,405.52,456.91,100.83
1,407.64,348.43,98.99
1,407.52,364.12,98.313
1,413.66,107.38,98.742
1,420.43,47.768,98.466
1,426.39,137.48,99.467
1,455.84,496.64,101.01
1,495.02,467.29,99.63
1,513.51,245.14,102.34
1,644.86,115.77,101.24
1,404.32,639.31,100.94
1,408.7,221.41,99.185
1,407.89,341.31,100.05
1,411.02,516.77,99.552
1,415.22,265.2,100.01
1,414.85,631.69,100.82
1,433.04,185.04,100.13
1,448.71,475.03,100.42
1,454.32,502.0,102.13
1,492.25,478.23,101.11
1,556.68,293.98,102.36
1,611.34,125.45,99.653
1,403.56,502.49,100.73
1,406.58,395.42,99.941
1,408.61,649.22,101.64
1,408.21,658.31,100.94
1,414.44,414.04,104.19
1,413.98,637.32,101.3
1,416.08,210.42,99.61
1,550.13,200.8,103.29
1,556.24,217.75,102.13
1,565.1,226.37,102.81
1,581.25,257.88,102.05
1,587.98,237.29,103.03
1,593.65,228.02,102.94
1,617.44,191.55,102.11
1,677.16,87.442,102.75
1,408.99,426.11,102.51
1,408.58,432.04,101.21
1,413.43,359.21,102.63
1,415.84,292.7,102.05
1,417.05,319.8,100.07
1,426.32,88.287,102.95
1,440.29,55.947,102.83
1,461.09,510.54,103.86
1,549.06,164.04,103.38
1,554.61,165.73,104.67
1,561.77,203.52,103.22
1,578.67,197.19,104.69
1,596.86,244.95,103.27
1,660.23,90.554,104.28
1,672.41,230.45,102.47
1,412.1,220.7,101.51
1,412.85,350.07,101.69
1,419.44,513.77,104.18
1,429.47,156.76,101.67
1,456.61,419.95,103.27
1,456.1,424.05,103.05
1,508.54,222.85,103.8
1,536.35,166.94,105.37
1,607.43,233.41,104.63
1,414.0,452.27,105.99
1,416.77,340.17,102.81
1,428.76,247.96,100.48
1,431.9,178.41,103.81
1,443.69,499.03,103.65
1,445.8,523.25,106.0
1,446.77,505.98,105.27
1,457.0,395.22,105.95
1,543.36,286.87,105.04
1,545.3,216.76,104.85
1,549.5,294.65,104.32
1,607.24,275.33,104.94
1,626.53,197.82,102.65
1,628.17,124.25,104.31
1,420.63,550.08,104.99
1,423.59,210.58,105.58
1,423.48,555.04,105.09
1,436.69,63.849,104.36
1,455.83,366.73,103.67
1,502.12,200.6,106.67
1,508.35,187.82,105.09
1,533.52,246.52,108.14
1,541.09,243.45,106.26
1,540.78,286.56,105.41
1,552.54,194.28,107.05
1,564.61,299.74,105.02
1,572.75,283.13,105.05
1,588.06,294.34,105.47
1,588.63,268.12,105.38
1,602.41,258.87,106.54
1,611.21,253.73,106.23
1,611.16,286.42,105.94
1,611.98,270.84,105.25
1,629.48,108.5,105.77
1,629.91,206.15,104.3
1,646.93,99.498,106.75
1,424.93,280.2,105.96
1,438.09,229.81,104.41
1,459.16,679.15,108.44
1,461.81,535.44,107.33
1,532.65,167.24,106.26
1,543.01,296.27,107.31
1,558.59,306.14,106.76
1,607.07,219.63,108.28
1,608.25,239.78,106.43
1,647.09,93.763,106.52
1,658.94,86.471,106.75
1,417.94,414.67,107.45
1,418.17,450.68,108.24
1,430.46,49.202,106.29
1,429.83,243.38,105.61
1,448.52,308.83,106.76
1,452.33,496.07,106.41
1,468.91,523.96,109.54
1,507.45,249.16,108.95
1,509.79,238.22,106.42
1,525.74,211.51,109.09
1,537.7,161.07,108.16
1,589.07,161.3,108.11
1,606.08,119.3,108.68
